,Drama,Action,Thriller,Comedy,Documentary,Crime,Music,Horror,Family,Fantasy,Biography,Sport,Adventure,Musical,Animation,Short,Mystery,Romance,Adult
Drama,0,1.398827045,0.289456082,0.629583275,0.014761598,0.403300947,0.166226455,1.241067353,0.06124455,0.832345492,0.888140812,1.154043386,0.457824551,0.201490129,0.101471969,0.359562252,0.036546028,0.020432941,0.822635311
Action,1.398827045,0,0.448251274,0.25951571,1.555850504,0.303141639,0.844280958,0.033067774,0.967551385,0.483634893,4.398987941,0.04620744,0.352988543,0.755330738,0.807617736,2.839326745,1.761430554,1.270636784,3.897331041
Thriller,0.289456082,0.448251274,0,0.195258294,0.355244313,0.029631553,0.190954625,0.385665841,0.124260344,0.456247212,2.169819188,0.368241452,0.126702583,0.160085787,0.107066643,1.056394947,0.441632654,0.272412596,1.728895218
Comedy,0.629583275,0.25951571,0.195258294,0,0.76756804,0.07511795,0.206646503,0.178595448,0.414973371,0.0865773,2.711364104,0.113576539,0.0249785,0.216392307,0.242458522,1.85557094,0.925056648,0.489417514,2.789661876
Documentary,0.014761598,1.555850504,0.355244313,0.76756804,0,0.498265594,0.24417563,1.394116846,0.080473244,0.997347436,0.822565552,1.312234263,0.572136568,0.281046438,0.16633241,0.265137035,0.026371156,0.059067208,0.6658092
Crime,0.403300947,0.303141639,0.029631553,0.07511795,0.498265594,0,0.171943933,0.238271845,0.208824525,0.275437779,2.408909927,0.2071267,0.04641633,0.154934826,0.132198334,1.359964789,0.613337941,0.339460178,2.135659214
Music,0.166226455,0.844280958,0.190954625,0.206646503,0.24417563,0.171943933,0,0.674414573,0.141827494,0.264873461,1.43788817,0.584312618,0.114196185,0.108558768,0.034941831,1.005122012,0.331496101,0.081550652,1.669180425
Horror,1.241067353,0.033067774,0.385665841,0.178595448,1.394116846,0.238271845,0.674414573,0,0.871302833,0.320520287,4.025017252,0.028994727,0.244549674,0.664617925,0.676894853,2.690695153,1.577724832,1.099502033,3.688347495
Family,0.06124455,0.967551385,0.124260344,0.414973371,0.080473244,0.208824525,0.141827494,0.871302833,0,0.670254333,1.36666705,0.793785932,0.285846141,0.122056921,0.056118575,0.538910161,0.157470348,0.073336743,1.101958596
Fantasy,0.832345492,0.483634893,0.456247212,0.0865773,0.997347436,0.275437779,0.264873461,0.320520287,0.670254333,0,2.731556786,0.250232631,0.107081156,0.401464593,0.389180463,2.262221193,1.155985533,0.625381895,3.224667275
Biography,0.888140812,4.398987941,2.169819188,2.711364104,0.822565552,2.408909927,1.43788817,4.025017252,1.36666705,2.731556786,0,3.833547511,2.346547763,1.702462199,1.456257244,0.651621096,0.722532333,0.949089657,0.692744837
Sport,1.154043386,0.04620744,0.368241452,0.113576539,1.312234263,0.2071267,0.584312618,0.028994727,0.793785932,0.250232631,3.833547511,0,0.18985722,0.576972814,0.605142245,2.604876903,1.517041469,0.999408458,3.624986127
Adventure,0.457824551,0.352988543,0.126702583,0.0249785,0.572136568,0.04641633,0.114196185,0.244549674,0.285846141,0.107081156,2.346547763,0.18985722,0,0.174932655,0.136782686,1.569653668,0.706418594,0.340881163,2.394273436
Musical,0.201490129,0.755330738,0.160085787,0.216392307,0.281046438,0.154934826,0.108558768,0.664617925,0.122056921,0.401464593,1.702462199,0.576972814,0.174932655,0,0.069756275,0.93258703,0.378001966,0.146885747,1.744858773
Animation,0.101471969,0.807617736,0.107066643,0.242458522,0.16633241,0.132198334,0.034941831,0.676894853,0.056118575,0.389180463,1.456257244,0.605142245,0.136782686,0.069756275,0,0.811216851,0.237103126,0.05768493,1.46043416
Short,0.359562252,2.839326745,1.056394947,1.85557094,0.265137035,1.359964789,1.005122012,2.690695153,0.538910161,2.262221193,0.651621096,2.604876903,1.569653668,0.93258703,0.811216851,0,0.213889022,0.531871222,0.170388447
Mystery,0.036546028,1.761430554,0.441632654,0.925056648,0.026371156,0.613337941,0.331496101,1.577724832,0.157470348,1.155985533,0.722532333,1.517041469,0.706418594,0.378001966,0.237103126,0.213889022,0,0.098781412,0.554228769
Romance,0.020432941,1.270636784,0.272412596,0.489417514,0.059067208,0.339460178,0.081550652,1.099502033,0.073336743,0.625381895,0.949089657,0.999408458,0.340881163,0.146885747,0.05768493,0.531871222,0.098781412,0,1.065378073
Adult,0.822635311,3.897331041,1.728895218,2.789661876,0.6658092,2.135659214,1.669180425,3.688347495,1.101958596,3.224667275,0.692744837,3.624986127,2.394273436,1.744858773,1.46043416,0.170388447,0.554228769,1.065378073,0
